method_id,method_label,coverage,mean_len,sd_len,scenario_id,scenario_label,rep,seed,tau_quantile,tau,n,test_frac,p,beta_scale,sigma,cens_target,alpha,B,n_folds,censor_rate_emp,admin_mass_emp
cp_cox_full,CP + Cox,0.8916666666666667,1.1510246150488144,0.2132045318784543,aft_lognormal_linear,Log-Normal AFT (Linear),1,28260415,0.7,1.5954122465705796,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4157142857142857,0.21285714285714286
cp_cox_crossfit,CP + Cox (Cross-Fit),0.8833333333333333,1.1237359354135583,0.2287657752675884,aft_lognormal_linear,Log-Normal AFT (Linear),1,28260415,0.7,1.5954122465705796,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4157142857142857,0.21285714285714286
cp_cox_full,CP + Cox,0.8933333333333333,1.1403391671705867,0.17919954206157745,aft_lognormal_linear,Log-Normal AFT (Linear),2,28260416,0.7,1.5556803556099585,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4035714285714286,0.21571428571428572
cp_cox_crossfit,CP + Cox (Cross-Fit),0.8916666666666667,1.1277508613417129,0.18628184227763664,aft_lognormal_linear,Log-Normal AFT (Linear),2,28260416,0.7,1.5556803556099585,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4035714285714286,0.21571428571428572
cp_cox_full,CP + Cox,0.86,1.1469591568486102,0.1993547566690271,aft_lognormal_linear,Log-Normal AFT (Linear),3,28260417,0.7,1.6304985666026546,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4092857142857143,0.2007142857142857
cp_cox_crossfit,CP + Cox (Cross-Fit),0.8916666666666667,1.1997316239581945,0.16912801495022897,aft_lognormal_linear,Log-Normal AFT (Linear),3,28260417,0.7,1.6304985666026546,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4092857142857143,0.2007142857142857
cp_cox_full,CP + Cox,0.8866666666666667,1.086227563710675,0.17813453276365218,aft_lognormal_linear,Log-Normal AFT (Linear),4,28260418,0.7,1.4917154439891849,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4257142857142857,0.21357142857142858
cp_cox_crossfit,CP + Cox (Cross-Fit),0.88,1.076895286361159,0.18458712291055185,aft_lognormal_linear,Log-Normal AFT (Linear),4,28260418,0.7,1.4917154439891849,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4257142857142857,0.21357142857142858
cp_cox_full,CP + Cox,0.9166666666666666,1.0890281150333243,0.18399404466499802,aft_lognormal_linear,Log-Normal AFT (Linear),5,28260419,0.7,1.5188464385710092,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.40285714285714286,0.20285714285714285
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9233333333333333,1.101341710866915,0.17710042732547676,aft_lognormal_linear,Log-Normal AFT (Linear),5,28260419,0.7,1.5188464385710092,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.40285714285714286,0.20285714285714285
cp_cox_full,CP + Cox,0.905,1.0979650173427995,0.2111273245276169,aft_lognormal_linear,Log-Normal AFT (Linear),6,28260420,0.7,1.5384661536815964,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4228571428571429,0.195
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9083333333333333,1.1115631715279184,0.20390548978957404,aft_lognormal_linear,Log-Normal AFT (Linear),6,28260420,0.7,1.5384661536815964,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4228571428571429,0.195
cp_cox_full,CP + Cox,0.8933333333333333,1.116366434758761,0.19742744389248051,aft_lognormal_linear,Log-Normal AFT (Linear),7,28260421,0.7,1.5724018931074204,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.3992857142857143,0.21
cp_cox_crossfit,CP + Cox (Cross-Fit),0.8983333333333333,1.124386167681964,0.19310016886338968,aft_lognormal_linear,Log-Normal AFT (Linear),7,28260421,0.7,1.5724018931074204,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.3992857142857143,0.21
cp_cox_full,CP + Cox,0.8933333333333333,1.1751533247019623,0.17817482996936804,aft_lognormal_linear,Log-Normal AFT (Linear),8,28260422,0.7,1.6070437198052452,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.41285714285714287,0.21857142857142858
cp_cox_crossfit,CP + Cox (Cross-Fit),0.88,1.1566447400176387,0.18757299895971763,aft_lognormal_linear,Log-Normal AFT (Linear),8,28260422,0.7,1.6070437198052452,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.41285714285714287,0.21857142857142858
cp_cox_full,CP + Cox,0.9016666666666666,1.196760643722478,0.19315826432023905,aft_lognormal_linear,Log-Normal AFT (Linear),9,28260423,0.7,1.6140352107087876,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4085714285714286,0.20642857142857143
cp_cox_crossfit,CP + Cox (Cross-Fit),0.8933333333333333,1.1885070612033006,0.19771828356052493,aft_lognormal_linear,Log-Normal AFT (Linear),9,28260423,0.7,1.6140352107087876,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4085714285714286,0.20642857142857143
cp_cox_full,CP + Cox,0.9016666666666666,1.1444026162643428,0.1688720006505267,aft_lognormal_linear,Log-Normal AFT (Linear),10,28260424,0.7,1.552376433423668,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.3964285714285714,0.1957142857142857
cp_cox_crossfit,CP + Cox (Cross-Fit),0.905,1.1552162321676869,0.1630163655449953,aft_lognormal_linear,Log-Normal AFT (Linear),10,28260424,0.7,1.552376433423668,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.3964285714285714,0.1957142857142857
cp_cox_full,CP + Cox,0.9166666666666666,1.1429377275489832,0.21851665550837293,aft_lognormal_linear,Log-Normal AFT (Linear),11,28260425,0.7,1.5825157934133873,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.41928571428571426,0.21714285714285714
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9233333333333333,1.1485790191990035,0.21483776089864423,aft_lognormal_linear,Log-Normal AFT (Linear),11,28260425,0.7,1.5825157934133873,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.41928571428571426,0.21714285714285714
cp_cox_full,CP + Cox,0.9166666666666666,1.1586874121499806,0.14763489257941304,aft_lognormal_linear,Log-Normal AFT (Linear),12,28260426,0.7,1.5665447144264855,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.40285714285714286,0.19857142857142857
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9016666666666666,1.1386153942799109,0.1575196157554494,aft_lognormal_linear,Log-Normal AFT (Linear),12,28260426,0.7,1.5665447144264855,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.40285714285714286,0.19857142857142857
cp_cox_full,CP + Cox,0.9266666666666666,1.1628564345611188,0.19153319588360673,aft_lognormal_linear,Log-Normal AFT (Linear),13,28260427,0.7,1.5948771302624534,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.405,0.20642857142857143
