setting_id,dgp_id,dgp_label,cens_target,tau_quantile,n_rep,coverage_diff_mean,coverage_diff_sd,length_diff_mean,length_diff_sd
s001,base,Base Weibull PH,0.1,0.75,30,-0.0018888888888888883,0.012818608759285345,-0.0034600925731293284,0.019995684594250166
s002,base,Base Weibull PH,0.1,0.9,30,-0.0020000000000000018,0.0118774069954206,-0.0016758983525697756,0.01534519381702617
s003,base,Base Weibull PH,0.1,0.97,30,0.0017222222222222098,0.009742698743135247,0.002629787206803113,0.013007567239327208
s004,base,Base Weibull PH,0.2,0.75,30,0.0023333333333333166,0.010815414003940323,0.0018793015856401144,0.015900577467065913
s005,base,Base Weibull PH,0.2,0.9,30,0.0053333333333333375,0.014832396974191316,0.006338007278470609,0.018587258582114897
s006,base,Base Weibull PH,0.2,0.97,30,0.0021111111111111113,0.010985303080950103,0.0033038346715031546,0.01557688434399245
s007,base,Base Weibull PH,0.35,0.75,30,0.005277777777777774,0.00901343540942903,0.007943220029554093,0.013464750601026957
s008,base,Base Weibull PH,0.35,0.9,30,0.002222222222222214,0.011730803454184839,0.0032998393215142897,0.015999677227493885
s009,base,Base Weibull PH,0.35,0.97,30,0.001055555555555557,0.012943165871770466,3.13386741279097e-4,0.017300801815217384
s010,high_dim,Higher covariate dimension,0.1,0.75,30,-4.999999999999957e-4,0.014837239573482654,-0.0017535210225669996,0.02340139588835493
s011,high_dim,Higher covariate dimension,0.1,0.9,30,-0.0011111111111111027,0.01473477741228307,-5.411371731253662e-4,0.027615745941458835
s012,high_dim,Higher covariate dimension,0.1,0.97,30,0.0019444444444444418,0.014377793470592553,0.003041221595364884,0.023176536362273046
s013,high_dim,Higher covariate dimension,0.2,0.75,30,0.0021111111111111157,0.01375715302158332,0.0037922503183505252,0.021464196701517925
s014,high_dim,Higher covariate dimension,0.2,0.9,30,8.888888888888835e-4,0.009323201945056293,0.003990773646923263,0.016597481638172106
s015,high_dim,Higher covariate dimension,0.2,0.97,30,0.0031666666666666614,0.015655229378599096,0.0062894987833016,0.02615868734334075
s016,high_dim,Higher covariate dimension,0.35,0.75,30,0.0033888888888888896,0.009908424888968578,0.005653171323095115,0.01603219750803398
s017,high_dim,Higher covariate dimension,0.35,0.9,30,0.0037777777777777788,0.014562149364882914,0.006546549486156707,0.021756331604983876
s018,high_dim,Higher covariate dimension,0.35,0.97,30,0.0019999999999999914,0.011298797955935044,0.004591537889102986,0.020374918309047804
s019,high_shape,Higher Weibull shape,0.1,0.75,30,0.0025000000000000022,0.010763479475590412,0.005884551625427275,0.01730986727440206
s020,high_shape,Higher Weibull shape,0.1,0.9,30,0.0014444444444444405,0.012408541531437929,7.403413223172981e-4,0.018124322731032302
s021,high_shape,Higher Weibull shape,0.1,0.97,30,0.002611111111111112,0.0109394303624044,0.004445964868036345,0.019820317286023032
s022,high_shape,Higher Weibull shape,0.2,0.75,30,0.003555555555555556,0.010673967807763664,0.0065951219613417655,0.01859365481776704
s023,high_shape,Higher Weibull shape,0.2,0.9,30,-9.444444444444445e-4,0.009188149678161624,-9.983300142062759e-4,0.017117160982714905
s024,high_shape,Higher Weibull shape,0.2,0.97,30,1.666666666666559e-4,0.013836414280920374,5.773947183519119e-4,0.020181611312492655
s025,high_shape,Higher Weibull shape,0.35,0.75,30,0.0023888888888888966,0.009445176892941325,0.0046383588618402,0.0171036341311082
s026,high_shape,Higher Weibull shape,0.35,0.9,30,0.0046666666666666645,0.011706827428006224,0.006093865757548548,0.017829507601788176
s027,high_shape,Higher Weibull shape,0.35,0.97,30,0.001166666666666667,0.010899664306405819,0.001736397925478462,0.019618196637765636
s028,strong_signal,Stronger covariate effect,0.1,0.75,30,0.0014444444444444442,0.011130825422444193,-8.060995083987096e-5,0.019888583036159552
s029,strong_signal,Stronger covariate effect,0.1,0.9,30,6.666666666666715e-4,0.01011050059206874,4.4873307797064246e-4,0.0209277195633399
s030,strong_signal,Stronger covariate effect,0.1,0.97,30,0.003222222222222222,0.012089491758688517,0.0056672886166654265,0.023519801620440317
s031,strong_signal,Stronger covariate effect,0.2,0.75,30,-0.0011111111111111029,0.00992629285839383,-0.003149486950231072,0.016552657277142332
s032,strong_signal,Stronger covariate effect,0.2,0.9,30,7.222222222222274e-4,0.008449572449830212,0.0015431874304052528,0.017971884954942587
s033,strong_signal,Stronger covariate effect,0.2,0.97,30,0.0015000000000000117,0.01441948181935457,0.006125607474548201,0.026598653689079307
s034,strong_signal,Stronger covariate effect,0.35,0.75,30,-1.6666666666665598e-4,0.007129749878735816,5.825361694639175e-4,0.012477773380848232
s035,strong_signal,Stronger covariate effect,0.35,0.9,30,0.0018333333333333435,0.013242145072844805,0.004417510637650991,0.021337811396492615
s036,strong_signal,Stronger covariate effect,0.35,0.97,30,0.005833333333333324,0.014275276701493906,0.011820174467239899,0.02336967204158833
