setting_id,dgp_id,dgp_label,p,beta_scale,gamma,kappa,cens_target,tau_quantile,method_id,method_label,n,test_frac,alpha,B,n_rep,tau_mean,coverage_mean,coverage_sd,length_mean,length_sd,censor_rate_emp_mean,admin_mass_emp_mean,tcrit,coverage_se,length_se,coverage_ci_low,coverage_ci_high,length_ci_low,length_ci_high,target_coverage,abs_cov_error
s001,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.375552866443494,0.8994444444444445,0.012657689902402788,1.2015506592573808,0.03728014057373504,0.30578571428571427,0.20492857142857143,2.0452296421327034,0.0023109674284837903,0.006806391313066089,0.8947179853577063,0.9041709035311827,1.1876300259879435,1.215471292526818,0.9,5.555555555555314e-4
s002,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,2.2825628037407837,0.8998333333333334,0.018379513416028226,2.1129216510566304,0.08239604208148309,0.17373809523809525,0.07671428571428571,2.0452296421327034,0.0033556246979758305,0.015043390299057735,0.8929703102331606,0.9066963564335061,2.082154463298826,2.143688838814435,0.9,1.666666666666483e-4
s003,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,3.620165954493644,0.8958333333333334,0.014931195967732114,3.446994221694946,0.1658546334605059,0.12176190476190477,0.019642857142857142,2.0452296421327034,0.0027260509473523526,0.0302807746710234,0.8902579331298444,0.9014087335368224,3.385063083751028,3.508925359638864,0.9,0.004166666666666652
s004,base,Base Weibull PH,3,0.3,1.2,1,0.2,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.3812524478611055,0.9019444444444444,0.01747512371671319,1.210334416169635,0.030482633040928388,0.3637142857142857,0.16552380952380952,2.0452296421327034,0.0031905064849457776,0.005565341909556258,0.8954191260080168,0.9084697628808721,1.198952013927607,1.221716818411663,0.9,0.0019444444444444153
s005,base,Base Weibull PH,3,0.3,1.2,1,0.2,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,2.2866506982812256,0.8982777777777777,0.019150959747732208,2.115872814135557,0.07266113766234668,0.2558095238095238,0.05580952380952381,2.0452296421327034,0.0034964708839021253,0.013266048050551824,0.8911266918831672,0.9054288636723883,2.088740699428612,2.1430049288425024,0.9,0.0017222222222222916
s006,base,Base Weibull PH,3,0.3,1.2,1,0.2,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,3.633797212728794,0.8996111111111111,0.016269305263041135,3.461996393969643,0.14366453481715308,0.21307142857142858,0.012142857142857143,2.0452296421327034,0.0029703551625017166,0.026229435477613687,0.8935360526851007,0.9056861695371216,3.4083511750344204,3.515641612904866,0.9,3.8888888888888307e-4
s007,base,Base Weibull PH,3,0.3,1.2,1,0.35,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.3673264853674754,0.8986111111111111,0.019436916988501036,1.1978264597620187,0.043806658406344186,0.4549761904761905,0.10733333333333334,2.0452296421327034,0.003548679294319133,0.007997964992692674,0.891353247027947,0.9058689751942752,1.181468784682224,1.2141841348418134,0.9,0.001388888888888884
s008,base,Base Weibull PH,3,0.3,1.2,1,0.35,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,2.2911198015193883,0.8960555555555556,0.018478958383453873,2.119816575483102,0.06543424495311775,0.3810952380952381,0.028714285714285716,2.0452296421327034,0.0033737807819389618,0.011946603998047055,0.8891553990942764,0.9029557120168348,2.0953830268634754,2.144250124102729,0.9,0.003944444444444417
s009,base,Base Weibull PH,3,0.3,1.2,1,0.35,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,3.6471389035828,0.8961111111111111,0.017372046364531827,3.476687183124688,0.17012060022492254,0.3518095238095238,0.004714285714285714,2.0452296421327034,0.003171687221293232,0.03105963007983617,0.8896242823905487,0.9025979398316735,3.4131631070117305,3.5402112592376453,0.9,0.0038888888888889417
s010,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.1,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.5201187052389442,0.8977222222222222,0.018207422033711018,1.3157960533371336,0.04542920400839955,0.3026904761904762,0.202,2.0452296421327034,0.0033242052539600372,0.008294199934968181,0.8909234591002898,0.9045209853441546,1.2988325097723614,1.3327595969019057,0.9,0.002277777777777823
