method_id,method_label,coverage,mean_len,sd_len,setting_id,rep,seed,dgp_id,dgp_label,p,beta_scale,gamma,kappa,cens_target,tau_quantile,n,test_frac,alpha,B,tau,censor_rate_emp,admin_mass_emp,train_n,test_n
cp_cox_full,CP + Cox,0.8816666666666667,1.1859956734130157,0.06949463508062932,s001,1,20270414,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3769694190499604,0.3142857142857143,0.205,1400,600
cp_cox_crossfit,CP + Cox (Cross-Fit),0.885,1.1910315668887945,0.0678073387907034,s001,1,20270414,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3769694190499604,0.3142857142857143,0.205,1400,600
cp_cox_full,CP + Cox,0.9066666666666666,1.2299452825551993,0.08356528368117813,s001,2,20270415,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4036859989066355,0.325,0.21785714285714286,1400,600
cp_cox_crossfit,CP + Cox (Cross-Fit),0.905,1.2177563201943216,0.08914174599543376,s001,2,20270415,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4036859989066355,0.325,0.21785714285714286,1400,600
cp_cox_full,CP + Cox,0.8766666666666667,1.2278723798934734,0.10388600936874773,s001,3,20270416,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.428634334860026,0.30142857142857143,0.1992857142857143,1400,600
cp_cox_crossfit,CP + Cox (Cross-Fit),0.8416666666666667,1.1718755819441473,0.1290450534994071,s001,3,20270416,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.428634334860026,0.30142857142857143,0.1992857142857143,1400,600
cp_cox_full,CP + Cox,0.8883333333333333,1.1154188261297955,0.06972969826575112,s001,4,20270417,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.2655068920973738,0.3007142857142857,0.20357142857142857,1400,600
cp_cox_crossfit,CP + Cox (Cross-Fit),0.8716666666666667,1.0878849926998357,0.08391696497183146,s001,4,20270417,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.2655068920973738,0.3007142857142857,0.20357142857142857,1400,600
cp_cox_full,CP + Cox,0.8966666666666666,1.1731124080283026,0.07651951613767019,s001,5,20270418,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3544651986443166,0.3057142857142857,0.19785714285714287,1400,600
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9,1.179819407183815,0.07367202585043517,s001,5,20270418,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3544651986443166,0.3057142857142857,0.19785714285714287,1400,600
cp_cox_full,CP + Cox,0.9266666666666666,1.1758669482345767,0.07001790830296425,s001,6,20270419,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3352742976777174,0.295,0.19714285714285715,1400,600
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9433333333333334,1.1994965200356493,0.05976048981238771,s001,6,20270419,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3352742976777174,0.295,0.19714285714285715,1400,600
cp_cox_full,CP + Cox,0.9033333333333333,1.2078945704705488,0.07844130773773907,s001,7,20270420,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.381267582924669,0.3,0.21,1400,600
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9116666666666666,1.2289191921443974,0.0690227818120132,s001,7,20270420,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.381267582924669,0.3,0.21,1400,600
cp_cox_full,CP + Cox,0.8966666666666666,1.1667731471232978,0.06880527905428269,s001,8,20270421,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3275648196766625,0.3142857142857143,0.21,1400,600
cp_cox_crossfit,CP + Cox (Cross-Fit),0.88,1.1386285653538244,0.08127250071931079,s001,8,20270421,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3275648196766625,0.3142857142857143,0.21,1400,600
