setting_id,dgp_id,dgp_label,gamma,kappa,beta_scale,p,cens_target,tau_quantile
s001,base,Base Weibull PH,1.2,1,0.3,3,0.1,0.75
s002,base,Base Weibull PH,1.2,1,0.3,3,0.1,0.9
s003,base,Base Weibull PH,1.2,1,0.3,3,0.1,0.97
s004,base,Base Weibull PH,1.2,1,0.3,3,0.2,0.75
s005,base,Base Weibull PH,1.2,1,0.3,3,0.2,0.9
s006,base,Base Weibull PH,1.2,1,0.3,3,0.2,0.97
s007,base,Base Weibull PH,1.2,1,0.3,3,0.35,0.75
s008,base,Base Weibull PH,1.2,1,0.3,3,0.35,0.9
s009,base,Base Weibull PH,1.2,1,0.3,3,0.35,0.97
s010,high_dim,Higher covariate dimension,1.2,1,0.3,9,0.1,0.75
s011,high_dim,Higher covariate dimension,1.2,1,0.3,9,0.1,0.9
s012,high_dim,Higher covariate dimension,1.2,1,0.3,9,0.1,0.97
s013,high_dim,Higher covariate dimension,1.2,1,0.3,9,0.2,0.75
s014,high_dim,Higher covariate dimension,1.2,1,0.3,9,0.2,0.9
s015,high_dim,Higher covariate dimension,1.2,1,0.3,9,0.2,0.97
s016,high_dim,Higher covariate dimension,1.2,1,0.3,9,0.35,0.75
s017,high_dim,Higher covariate dimension,1.2,1,0.3,9,0.35,0.9
s018,high_dim,Higher covariate dimension,1.2,1,0.3,9,0.35,0.97
s019,high_shape,Higher Weibull shape,1.8,1,0.3,3,0.1,0.75
s020,high_shape,Higher Weibull shape,1.8,1,0.3,3,0.1,0.9
s021,high_shape,Higher Weibull shape,1.8,1,0.3,3,0.1,0.97
s022,high_shape,Higher Weibull shape,1.8,1,0.3,3,0.2,0.75
s023,high_shape,Higher Weibull shape,1.8,1,0.3,3,0.2,0.9
s024,high_shape,Higher Weibull shape,1.8,1,0.3,3,0.2,0.97
s025,high_shape,Higher Weibull shape,1.8,1,0.3,3,0.35,0.75
s026,high_shape,Higher Weibull shape,1.8,1,0.3,3,0.35,0.9
s027,high_shape,Higher Weibull shape,1.8,1,0.3,3,0.35,0.97
s028,strong_signal,Stronger covariate effect,1.2,1,0.6,3,0.1,0.75
s029,strong_signal,Stronger covariate effect,1.2,1,0.6,3,0.1,0.9
s030,strong_signal,Stronger covariate effect,1.2,1,0.6,3,0.1,0.97
s031,strong_signal,Stronger covariate effect,1.2,1,0.6,3,0.2,0.75
s032,strong_signal,Stronger covariate effect,1.2,1,0.6,3,0.2,0.9
s033,strong_signal,Stronger covariate effect,1.2,1,0.6,3,0.2,0.97
s034,strong_signal,Stronger covariate effect,1.2,1,0.6,3,0.35,0.75
s035,strong_signal,Stronger covariate effect,1.2,1,0.6,3,0.35,0.9
s036,strong_signal,Stronger covariate effect,1.2,1,0.6,3,0.35,0.97
