tau_quantile,rep,seed,method_id,method_label,estimator_family,working_model,spec_status,is_conformal,n,test_frac,p,beta_scale,gamma,kappa,cens_target,alpha,B,tau,censor_rate_emp,admin_mass_emp,coverage,mean_len,sd_len
0.7,1,27260322,cp_cox,CP + Cox,conformal,Cox,correct,TRUE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,1.2107352658170778,0.4014285714285714,0.19785714285714287,0.9283333333333333,1.0699727377530714,0.06848428884521636
0.7,1,27260322,cp_lognormal,CP + Log-Normal,conformal,Log-Normal,misspecified,TRUE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,1.2107352658170778,0.4014285714285714,0.19785714285714287,0.93,1.0701123242785608,0.06895346402465834
0.7,1,27260322,cp_weibull,CP + Weibull,conformal,Weibull,correct,TRUE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,1.2107352658170778,0.4014285714285714,0.19785714285714287,0.925,1.067350719072311,0.06832367564362656
0.7,1,27260322,plugin_cox,Cox Plug-in,plug-in,Cox,correct,FALSE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,1.2107352658170778,0.4014285714285714,0.19785714285714287,0.9216666666666666,1.0554229514965925,0.0756396567177533
0.7,1,27260322,plugin_lognormal,Log-Normal Plug-in,plug-in,Log-Normal,misspecified,FALSE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,1.2107352658170778,0.4014285714285714,0.19785714285714287,0.9216666666666666,1.0622049557939854,0.07283078619105278
0.7,1,27260322,plugin_weibull,Weibull Plug-in,plug-in,Weibull,correct,FALSE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,1.2107352658170778,0.4014285714285714,0.19785714285714287,0.92,1.0541003152871458,0.07463757983287102
0.7,2,27260323,cp_cox,CP + Cox,conformal,Cox,correct,TRUE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,1.1707624474434728,0.40785714285714286,0.19428571428571428,0.85,0.9853040805115286,0.07183832371975632
0.7,2,27260323,cp_lognormal,CP + Log-Normal,conformal,Log-Normal,misspecified,TRUE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,1.1707624474434728,0.40785714285714286,0.19428571428571428,0.865,1.0028322304331179,0.07734633888346805
0.7,2,27260323,cp_weibull,CP + Weibull,conformal,Weibull,correct,TRUE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,1.1707624474434728,0.40785714285714286,0.19428571428571428,0.8633333333333333,1.0107293983769121,0.06525745889003784
0.7,2,27260323,plugin_cox,Cox Plug-in,plug-in,Cox,correct,FALSE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,1.1707624474434728,0.40785714285714286,0.19428571428571428,0.8583333333333333,0.9986121616947012,0.06683996318882254
