method_id,method_label,coverage,mean_len,sd_len,scenario_id,scenario_label,rep,seed,tau_quantile,tau,n,test_frac,p,beta_scale,sigma,cens_target,alpha,B,split_frac,censor_rate_emp,admin_mass_emp
cp_cox_full,CP + Cox,0.8816666666666667,1.1265230895193565,0.20236838195605228,aft_lognormal_linear,Log-Normal AFT (Linear),1,20430416,0.7,1.5613287635690443,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.41,0.20785714285714285
cp_cox_halfsplit,CP + Cox (Half-Split),0.8783333333333333,1.1297303403859251,0.19474869798897165,aft_lognormal_linear,Log-Normal AFT (Linear),1,20430416,0.7,1.5613287635690443,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.41,0.20785714285714285
cp_cox_full,CP + Cox,0.925,1.2361676316630696,0.172417721154042,aft_lognormal_linear,Log-Normal AFT (Linear),2,20430417,0.7,1.6377713071231406,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.43714285714285717,0.21714285714285714
cp_cox_halfsplit,CP + Cox (Half-Split),0.9266666666666666,1.2557943257111746,0.16612117747596192,aft_lognormal_linear,Log-Normal AFT (Linear),2,20430417,0.7,1.6377713071231406,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.43714285714285717,0.21714285714285714
cp_cox_full,CP + Cox,0.9133333333333333,1.1071081410774604,0.21635492813894094,aft_lognormal_linear,Log-Normal AFT (Linear),3,20430418,0.7,1.543620200540166,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.41,0.21785714285714286
cp_cox_halfsplit,CP + Cox (Half-Split),0.9266666666666666,1.1172268509466532,0.2183007278420532,aft_lognormal_linear,Log-Normal AFT (Linear),3,20430418,0.7,1.543620200540166,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.41,0.21785714285714286
cp_cox_full,CP + Cox,0.89,1.1002454462281195,0.16406103482086667,aft_lognormal_linear,Log-Normal AFT (Linear),4,20430419,0.7,1.5284986820364819,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.3985714285714286,0.21142857142857144
cp_cox_halfsplit,CP + Cox (Half-Split),0.8866666666666667,1.0947811570634038,0.1592606530643199,aft_lognormal_linear,Log-Normal AFT (Linear),4,20430419,0.7,1.5284986820364819,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.3985714285714286,0.21142857142857144
cp_cox_full,CP + Cox,0.915,1.1486679763831211,0.1957175539521108,aft_lognormal_linear,Log-Normal AFT (Linear),5,20430420,0.7,1.5780712536753878,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.4014285714285714,0.2042857142857143
cp_cox_halfsplit,CP + Cox (Half-Split),0.9,1.1295139670710976,0.20663250163516717,aft_lognormal_linear,Log-Normal AFT (Linear),5,20430420,0.7,1.5780712536753878,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.4014285714285714,0.2042857142857143
cp_cox_full,CP + Cox,0.905,1.0651246267635115,0.18023647271787988,aft_lognormal_linear,Log-Normal AFT (Linear),6,20430421,0.7,1.4916201107215623,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.4107142857142857,0.21357142857142858
cp_cox_halfsplit,CP + Cox (Half-Split),0.91,1.0762380407408265,0.1718980270762346,aft_lognormal_linear,Log-Normal AFT (Linear),6,20430421,0.7,1.4916201107215623,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.4107142857142857,0.21357142857142858
cp_cox_full,CP + Cox,0.905,1.1718488795235895,0.20144217253431976,aft_lognormal_linear,Log-Normal AFT (Linear),7,20430422,0.7,1.6141002190977858,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.4207142857142857,0.22214285714285714
cp_cox_halfsplit,CP + Cox (Half-Split),0.8983333333333333,1.1523749794555092,0.21712359965481878,aft_lognormal_linear,Log-Normal AFT (Linear),7,20430422,0.7,1.6141002190977858,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.4207142857142857,0.22214285714285714
cp_cox_full,CP + Cox,0.8816666666666667,1.1464730716622165,0.17931196001075358,aft_lognormal_linear,Log-Normal AFT (Linear),8,20430423,0.7,1.5701488095808027,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.40714285714285714,0.23
cp_cox_halfsplit,CP + Cox (Half-Split),0.8783333333333333,1.142739020611313,0.18317027496981295,aft_lognormal_linear,Log-Normal AFT (Linear),8,20430423,0.7,1.5701488095808027,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.40714285714285714,0.23
cp_cox_full,CP + Cox,0.8883333333333333,1.0935135844565333,0.18218833936216144,aft_lognormal_linear,Log-Normal AFT (Linear),9,20430424,0.7,1.5454638102348097,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.3871428571428571,0.20142857142857143
cp_cox_halfsplit,CP + Cox (Half-Split),0.885,1.091305583397469,0.18035091275049844,aft_lognormal_linear,Log-Normal AFT (Linear),9,20430424,0.7,1.5454638102348097,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.3871428571428571,0.20142857142857143
cp_cox_full,CP + Cox,0.8766666666666667,1.1109909880012752,0.19269955417447582,aft_lognormal_linear,Log-Normal AFT (Linear),10,20430425,0.7,1.5665568267584975,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.4064285714285714,0.2007142857142857
cp_cox_halfsplit,CP + Cox (Half-Split),0.8916666666666667,1.1531229354235786,0.157445257794566,aft_lognormal_linear,Log-Normal AFT (Linear),10,20430425,0.7,1.5665568267584975,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.4064285714285714,0.2007142857142857
cp_cox_full,CP + Cox,0.9016666666666666,1.1607232116587256,0.17933104243176937,aft_lognormal_linear,Log-Normal AFT (Linear),11,20430426,0.7,1.5921749472460438,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.40714285714285714,0.21428571428571427
cp_cox_halfsplit,CP + Cox (Half-Split),0.88,1.1346975146704708,0.20204897768171184,aft_lognormal_linear,Log-Normal AFT (Linear),11,20430426,0.7,1.5921749472460438,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.40714285714285714,0.21428571428571427
cp_cox_full,CP + Cox,0.9133333333333333,1.1375405473030675,0.20086975528338039,aft_lognormal_linear,Log-Normal AFT (Linear),12,20430427,0.7,1.547843520212803,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.4042857142857143,0.19714285714285715
cp_cox_halfsplit,CP + Cox (Half-Split),0.9116666666666666,1.1499214657149603,0.1721505835946078,aft_lognormal_linear,Log-Normal AFT (Linear),12,20430427,0.7,1.547843520212803,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.4042857142857143,0.19714285714285715
cp_cox_full,CP + Cox,0.8966666666666666,1.1431093675816846,0.15367948135171247,aft_lognormal_linear,Log-Normal AFT (Linear),13,20430428,0.7,1.5214216814287516,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.43,0.205
cp_cox_halfsplit,CP + Cox (Half-Split),0.8733333333333333,1.1096674264707052,0.17579140492521844,aft_lognormal_linear,Log-Normal AFT (Linear),13,20430428,0.7,1.5214216814287516,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.43,0.205
cp_cox_full,CP + Cox,0.87,1.1353262795784549,0.204869107106895,aft_lognormal_linear,Log-Normal AFT (Linear),14,20430429,0.7,1.5672314985358062,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.39,0.20285714285714285
cp_cox_halfsplit,CP + Cox (Half-Split),0.88,1.1433760170542921,0.21141960466895265,aft_lognormal_linear,Log-Normal AFT (Linear),14,20430429,0.7,1.5672314985358062,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.39,0.20285714285714285
cp_cox_full,CP + Cox,0.9066666666666666,1.1658041821771032,0.22810158810626344,aft_lognormal_linear,Log-Normal AFT (Linear),15,20430430,0.7,1.6101979447747907,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.4114285714285714,0.21928571428571428
cp_cox_halfsplit,CP + Cox (Half-Split),0.9083333333333333,1.1550263114714217,0.23955506556051276,aft_lognormal_linear,Log-Normal AFT (Linear),15,20430430,0.7,1.6101979447747907,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.4114285714285714,0.21928571428571428
cp_cox_full,CP + Cox,0.9066666666666666,1.1601518187865767,0.22249166950040591,aft_lognormal_linear,Log-Normal AFT (Linear),16,20430431,0.7,1.593159829855027,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.3892857142857143,0.19714285714285715
cp_cox_halfsplit,CP + Cox (Half-Split),0.92,1.1928191815568572,0.1855284714143444,aft_lognormal_linear,Log-Normal AFT (Linear),16,20430431,0.7,1.593159829855027,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.3892857142857143,0.19714285714285715
cp_cox_full,CP + Cox,0.8816666666666667,1.0619638327407088,0.19858005770779683,aft_lognormal_linear,Log-Normal AFT (Linear),17,20430432,0.7,1.5127960224482693,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.4,0.21142857142857144
cp_cox_halfsplit,CP + Cox (Half-Split),0.92,1.1193637933951885,0.15419866442168984,aft_lognormal_linear,Log-Normal AFT (Linear),17,20430432,0.7,1.5127960224482693,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.4,0.21142857142857144
cp_cox_full,CP + Cox,0.9033333333333333,1.136008789242546,0.18514362776233684,aft_lognormal_linear,Log-Normal AFT (Linear),18,20430433,0.7,1.5629035099643804,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.42142857142857143,0.21642857142857144
cp_cox_halfsplit,CP + Cox (Half-Split),0.9066666666666666,1.1273433644008917,0.2127313616712172,aft_lognormal_linear,Log-Normal AFT (Linear),18,20430433,0.7,1.5629035099643804,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.42142857142857143,0.21642857142857144
cp_cox_full,CP + Cox,0.915,1.163585604388362,0.12922605349733926,aft_lognormal_linear,Log-Normal AFT (Linear),19,20430434,0.7,1.5435570626579873,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.41928571428571426,0.22785714285714287
cp_cox_halfsplit,CP + Cox (Half-Split),0.9,1.128768760067238,0.16297760718362497,aft_lognormal_linear,Log-Normal AFT (Linear),19,20430434,0.7,1.5435570626579873,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.41928571428571426,0.22785714285714287
cp_cox_full,CP + Cox,0.9033333333333333,1.1199115573078802,0.19006073285172648,aft_lognormal_linear,Log-Normal AFT (Linear),20,20430435,0.7,1.584352592763175,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.41928571428571426,0.21285714285714286
cp_cox_halfsplit,CP + Cox (Half-Split),0.905,1.1360338566529962,0.1871736179573448,aft_lognormal_linear,Log-Normal AFT (Linear),20,20430435,0.7,1.584352592763175,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.41928571428571426,0.21285714285714286
cp_cox_full,CP + Cox,0.8833333333333333,1.064404809358236,0.21934589251644224,aft_lognormal_linear,Log-Normal AFT (Linear),21,20430436,0.7,1.5307499954192283,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.41285714285714287,0.20642857142857143
cp_cox_halfsplit,CP + Cox (Half-Split),0.8916666666666667,1.0848510861894494,0.20872047719067058,aft_lognormal_linear,Log-Normal AFT (Linear),21,20430436,0.7,1.5307499954192283,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.41285714285714287,0.20642857142857143
cp_cox_full,CP + Cox,0.91,1.1137205811912778,0.2179142401763182,aft_lognormal_linear,Log-Normal AFT (Linear),22,20430437,0.7,1.545880339376204,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.42428571428571427,0.2042857142857143
cp_cox_halfsplit,CP + Cox (Half-Split),0.9433333333333334,1.207103839704725,0.1347986757541226,aft_lognormal_linear,Log-Normal AFT (Linear),22,20430437,0.7,1.545880339376204,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.42428571428571427,0.2042857142857143
cp_cox_full,CP + Cox,0.8983333333333333,1.1496994153274507,0.20806118612954286,aft_lognormal_linear,Log-Normal AFT (Linear),23,20430438,0.7,1.59452509307472,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.42857142857142855,0.21357142857142858
cp_cox_halfsplit,CP + Cox (Half-Split),0.885,1.1318773416338945,0.22218266443934848,aft_lognormal_linear,Log-Normal AFT (Linear),23,20430438,0.7,1.59452509307472,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.42857142857142855,0.21357142857142858
cp_cox_full,CP + Cox,0.8983333333333333,1.217479065714026,0.19333093817319325,aft_lognormal_linear,Log-Normal AFT (Linear),24,20430439,0.7,1.6436869526267972,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.4,0.21428571428571427
cp_cox_halfsplit,CP + Cox (Half-Split),0.895,1.211264079338457,0.19412486124562306,aft_lognormal_linear,Log-Normal AFT (Linear),24,20430439,0.7,1.6436869526267972,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.4,0.21428571428571427
cp_cox_full,CP + Cox,0.9016666666666666,1.1178981383610747,0.20936276422308633,aft_lognormal_linear,Log-Normal AFT (Linear),25,20430440,0.7,1.5759441306354631,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.40785714285714286,0.19142857142857142
cp_cox_halfsplit,CP + Cox (Half-Split),0.9233333333333333,1.1522437450168768,0.19593783432389336,aft_lognormal_linear,Log-Normal AFT (Linear),25,20430440,0.7,1.5759441306354631,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.40785714285714286,0.19142857142857142
cp_cox_full,CP + Cox,0.89,1.0737273490836081,0.1928068571021965,aft_lognormal_linear,Log-Normal AFT (Linear),26,20430441,0.7,1.5282371764360174,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.43214285714285716,0.21714285714285714
cp_cox_halfsplit,CP + Cox (Half-Split),0.9016666666666666,1.0925477649612574,0.17881262719117474,aft_lognormal_linear,Log-Normal AFT (Linear),26,20430441,0.7,1.5282371764360174,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.43214285714285716,0.21714285714285714
cp_cox_full,CP + Cox,0.9333333333333333,1.2001555467773983,0.204901574776998,aft_lognormal_linear,Log-Normal AFT (Linear),27,20430442,0.7,1.6351385908449345,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.4064285714285714,0.21785714285714286
cp_cox_halfsplit,CP + Cox (Half-Split),0.9283333333333333,1.1737995715927463,0.2280629484300205,aft_lognormal_linear,Log-Normal AFT (Linear),27,20430442,0.7,1.6351385908449345,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.4064285714285714,0.21785714285714286
cp_cox_full,CP + Cox,0.8766666666666667,1.0992543382089424,0.1943664852240748,aft_lognormal_linear,Log-Normal AFT (Linear),28,20430443,0.7,1.5689250187933927,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.39071428571428574,0.20785714285714285
cp_cox_halfsplit,CP + Cox (Half-Split),0.8866666666666667,1.1178498385372329,0.180945608112343,aft_lognormal_linear,Log-Normal AFT (Linear),28,20430443,0.7,1.5689250187933927,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.39071428571428574,0.20785714285714285
cp_cox_full,CP + Cox,0.8833333333333333,1.0989922427992636,0.2078577263533993,aft_lognormal_linear,Log-Normal AFT (Linear),29,20430444,0.7,1.5252610117722896,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.41714285714285715,0.21428571428571427
cp_cox_halfsplit,CP + Cox (Half-Split),0.8883333333333333,1.097686928325503,0.2076720747662205,aft_lognormal_linear,Log-Normal AFT (Linear),29,20430444,0.7,1.5252610117722896,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.41714285714285715,0.21428571428571427
cp_cox_full,CP + Cox,0.9233333333333333,1.1898630957939393,0.16471527453300508,aft_lognormal_linear,Log-Normal AFT (Linear),30,20430445,0.7,1.5849708649399477,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.4085714285714286,0.2092857142857143
