setting_id,dgp_id,dgp_label,cens_target,tau_quantile,n_rep,coverage_diff_mean,coverage_diff_sd,length_diff_mean,length_diff_sd
s001,base,Base Weibull PH,0.1,0.75,30,0.0013333333333333348,0.015277760362233201,-5.934111274805856e-4,0.02215592582722514
s002,base,Base Weibull PH,0.1,0.9,30,6.666666666666672e-4,0.01827629580921,0.001770185722338477,0.02411319925993331
s003,base,Base Weibull PH,0.1,0.97,30,0.003055555555555556,0.014497214247747142,0.005996950270647038,0.021617514261205548
s004,base,Base Weibull PH,0.2,0.75,30,-0.0015000000000000124,0.014663204920618872,-0.0033743151241885467,0.0219563712098096
s005,base,Base Weibull PH,0.2,0.9,30,0.004333333333333325,0.01788961470172696,0.00629167843180732,0.024308857061650327
s006,base,Base Weibull PH,0.2,0.97,30,-0.0012222222222222278,0.014489614019416551,-9.695339851316355e-4,0.02180081659150274
s007,base,Base Weibull PH,0.35,0.75,30,0.003888888888888882,0.012971626369768898,0.005723210440931461,0.01810077469544841
s008,base,Base Weibull PH,0.35,0.9,30,0.0018888888888888766,0.014455197883436176,0.0015726332324544384,0.020826909507359697
s009,base,Base Weibull PH,0.35,0.97,30,0.004388888888888871,0.014152178753599004,0.004453777323641629,0.020170284559251173
s010,high_dim,Higher covariate dimension,0.1,0.75,30,-4.999999999999952e-4,0.013247930511413816,-1.264572234749952e-4,0.019817864836783324
s011,high_dim,Higher covariate dimension,0.1,0.9,30,-8.333333333333336e-4,0.01542346075828807,-0.002933263540300723,0.02776899855464743
s012,high_dim,Higher covariate dimension,0.1,0.97,30,0.0036111111111111023,0.0157815750111949,0.0013736809001370543,0.02997740042070121
s013,high_dim,Higher covariate dimension,0.2,0.75,30,-0.003499999999999985,0.012359168343606055,-0.006303423727718269,0.01974151055046454
s014,high_dim,Higher covariate dimension,0.2,0.9,30,0.0014444444444444379,0.011528187455214032,0.0016738803068597852,0.026100390056127232
s015,high_dim,Higher covariate dimension,0.2,0.97,30,0.0021666666666666657,0.017519283300304337,0.004101038971250875,0.031985123958149154
s016,high_dim,Higher covariate dimension,0.35,0.75,30,0.005055555555555566,0.012643682514802457,0.00978978514073706,0.02163628733905289
s017,high_dim,Higher covariate dimension,0.35,0.9,30,4.4444444444444463e-4,0.014562149364882912,0.0017777286708998052,0.0224963810980328
s018,high_dim,Higher covariate dimension,0.35,0.97,30,0.004333333333333325,0.01150212374193187,0.007397833501714619,0.022375940882191504
s019,high_shape,Higher Weibull shape,0.1,0.75,30,4.4444444444444447e-4,0.01337588993947889,0.0011682165288932121,0.023773796332012258
s020,high_shape,Higher Weibull shape,0.1,0.9,30,-0.004333333333333332,0.0123688522404921,-0.006260974901445424,0.021121729937166423
s021,high_shape,Higher Weibull shape,0.1,0.97,30,0.003166666666666661,0.013850252774433712,0.004984292916096256,0.01928697615124757
s022,high_shape,Higher Weibull shape,0.2,0.75,30,0.002833333333333332,0.013175429936931419,0.0030782654296374937,0.020819466447558714
s023,high_shape,Higher Weibull shape,0.2,0.9,30,-4.4444444444443704e-4,0.012775195474532515,-8.951973603318252e-4,0.024279369239443686
s024,high_shape,Higher Weibull shape,0.2,0.97,30,1.6666666666665617e-4,0.011771694735035655,8.965423573286419e-4,0.01993011372348653
s025,high_shape,Higher Weibull shape,0.35,0.75,30,0.00522222222222222,0.011676788165614013,0.012324984126920815,0.021567949917451215
s026,high_shape,Higher Weibull shape,0.35,0.9,30,1.1111111111110952e-4,0.015677138425776078,-0.0017584638115008887,0.024782502607045613
s027,high_shape,Higher Weibull shape,0.35,0.97,30,-0.0023888888888888905,0.01632807406139127,-0.005544834925671028,0.02804530136137939
s028,strong_signal,Stronger covariate effect,0.1,0.75,30,0.003222222222222215,0.015937697986649943,0.0059127272208460945,0.029431841498552658
s029,strong_signal,Stronger covariate effect,0.1,0.9,30,-6.111111111111071e-4,0.010716508314138467,-0.0037045027531202378,0.024311801269122406
s030,strong_signal,Stronger covariate effect,0.1,0.97,30,-0.0014444444444444522,0.013033506284925112,-0.0032367540320626573,0.02198053297660944
s031,strong_signal,Stronger covariate effect,0.2,0.75,30,0.0017777777777777891,0.014032893304956814,7.792202141315707e-4,0.02441815460130443
s032,strong_signal,Stronger covariate effect,0.2,0.9,30,0.0018888888888888803,0.016198796921727463,0.004333773323885427,0.031623881087801245
s033,strong_signal,Stronger covariate effect,0.2,0.97,30,-0.0025555555555555583,0.01322320418775495,-0.002850079568427897,0.02651684758095966
s034,strong_signal,Stronger covariate effect,0.35,0.75,30,-8.333333333333376e-4,0.013099603690884618,-0.002163946431490464,0.0231659218929215
s035,strong_signal,Stronger covariate effect,0.35,0.9,30,-4.999999999999969e-4,0.017098710488897738,-0.0016266039383222503,0.03095781672430359
s036,strong_signal,Stronger covariate effect,0.35,0.97,30,-8.888888888888913e-4,0.013495659393955167,9.939399693701332e-5,0.02567535991696388
