setting_id,dgp_id,dgp_label,p,beta_scale,gamma,kappa,cens_target,tau_quantile,method_id,method_label,n,test_frac,alpha,B,n_rep,tau_mean,coverage_mean,coverage_sd,length_mean,length_sd,censor_rate_emp_mean,admin_mass_emp_mean,tcrit,coverage_se,length_se,coverage_ci_low,coverage_ci_high,length_ci_low,length_ci_high,target_coverage,abs_cov_error
s001,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.3736700908000794,0.8994444444444445,0.012657689902402788,1.2007815893839557,0.03737665136512561,0.3065,0.20495238095238094,2.0452296421327034,0.0023109674284837903,0.006824011692228519,0.8947179853577063,0.9041709035311827,1.1868249183927497,1.2147382603751617,0.9,5.555555555555314e-4
s002,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,2.2857058984023144,0.9003333333333333,0.018353698198125972,2.115697459246773,0.07999360314830346,0.174,0.07654761904761904,2.0452296421327034,0.003350911505585172,0.014604766966814026,0.893479949793947,0.9071867168727197,2.0858273569298045,2.1455675615637415,0.9,3.333333333332966e-4
s003,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,3.633423069754386,0.8951111111111111,0.014141684079624963,3.4607852770625493,0.17335123966258478,0.12088095238095238,0.019642857142857142,2.0452296421327034,0.0025819064571740917,0.03164946144489397,0.8898305194916848,0.9003917027305374,3.396054860357916,3.5255156937671828,0.9,0.004888888888888943
s004,base,Base Weibull PH,3,0.3,1.2,1,0.2,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.3781838295662683,0.902,0.017394454570593163,1.2071283294860387,0.03189524633003463,0.3635,0.16557142857142856,2.0452296421327034,0.0031757783812709044,0.0058232486307146095,0.8955048039177805,0.9084951960822195,1.1952184487729924,1.2190382101990849,0.9,0.0020000000000000018
s005,base,Base Weibull PH,3,0.3,1.2,1,0.2,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,2.287214895219812,0.8980555555555556,0.01888705760787037,2.1167605106047014,0.0739990522162359,0.25547619047619047,0.0559047619047619,2.0452296421327034,0.0034482891655767214,0.01351031671094502,0.8910030123394731,0.9051080987716381,2.089128810392876,2.1443922108165268,0.9,0.0019444444444444153
s006,base,Base Weibull PH,3,0.3,1.2,1,0.2,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,3.6425804043922616,0.8986666666666667,0.01666321803401259,3.4706650886855543,0.1419860473873811,0.2135,0.012047619047619048,2.0452296421327034,0.0030422734659518603,0.025922987001688696,0.8924445187946282,0.9048888145387053,3.41764662725708,3.5236835501140287,0.9,0.0013333333333332975
s007,base,Base Weibull PH,3,0.3,1.2,1,0.35,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.369656548348729,0.9,0.020271150441696327,1.2001533516039413,0.04442755317207694,0.45380952380952383,0.10695238095238095,2.0452296421327034,0.00370098878783263,0.008111324349035578,0.892430628025924,0.9075693719740761,1.183563830608341,1.2167428725995417,0.9,0
s008,base,Base Weibull PH,3,0.3,1.2,1,0.35,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,2.2913978714497447,0.8956111111111111,0.018541055889892917,2.1192310083835486,0.06547736613470441,0.380547619047619,0.028642857142857144,2.0452296421327034,0.003385118183619457,0.011954476812667484,0.8886877670598502,0.9025344551623721,2.094781358050093,2.1436806587170043,0.9,0.004388888888888887
s009,base,Base Weibull PH,3,0.3,1.2,1,0.35,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,3.6666159552597652,0.8963333333333333,0.017465894516581967,3.4964678657413844,0.170024671705144,0.3516190476190476,0.004666666666666667,2.0452296421327034,0.003188821471245911,0.03104211600843924,0.8898114611368719,0.9028552055297947,3.4329796099264023,3.5599561215563664,0.9,0.003666666666666707
s010,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.1,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.5178631221759267,0.8992777777777777,0.017129679679606557,1.3133231036221602,0.04629090751566818,0.3023095238095238,0.20166666666666666,2.0452296421327034,0.0031274373211194594,0.008451524751238964,0.8928814502647121,0.9056741052908434,1.2960377946797081,1.3306084125646123,0.9,7.222222222222907e-4
