method_id,method_label,coverage,mean_len,sd_len,setting_id,rep,seed,dgp_id,dgp_label,p,beta_scale,gamma,kappa,cens_target,tau_quantile,n,test_frac,alpha,B,tau,censor_rate_emp,admin_mass_emp,train_n,test_n,split_support_n,split_fit_n
cp_cox_full,CP + Cox,0.8933333333333333,1.1851018704968446,0.08364350492820241,s001,1,20270413,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3422033038358285,0.3271428571428571,0.20642857142857143,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.89,1.1778036057910004,0.08381630879945755,s001,1,20270413,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3422033038358285,0.3271428571428571,0.20642857142857143,1400,600,700,700
cp_cox_full,CP + Cox,0.8816666666666667,1.1859956734130157,0.06949463508062932,s001,2,20270414,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3769694190499604,0.3142857142857143,0.205,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.89,1.1916395200123477,0.08225044307968776,s001,2,20270414,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3769694190499604,0.3142857142857143,0.205,1400,600,700,700
cp_cox_full,CP + Cox,0.9066666666666666,1.2299452825551993,0.08356528368117813,s001,3,20270415,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4036859989066355,0.325,0.21785714285714286,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.9066666666666666,1.2119189714486427,0.10909300925382018,s001,3,20270415,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4036859989066355,0.325,0.21785714285714286,1400,600,700,700
cp_cox_full,CP + Cox,0.8766666666666667,1.2278723798934734,0.10388600936874773,s001,4,20270416,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.428634334860026,0.30142857142857143,0.1992857142857143,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.8933333333333333,1.2470143307553954,0.08986306710301731,s001,4,20270416,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.428634334860026,0.30142857142857143,0.1992857142857143,1400,600,700,700
cp_cox_full,CP + Cox,0.8883333333333333,1.1154188261297955,0.06972969826575112,s001,5,20270417,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.2655068920973738,0.3007142857142857,0.20357142857142857,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.8783333333333333,1.098580951487171,0.07641586253578053,s001,5,20270417,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.2655068920973738,0.3007142857142857,0.20357142857142857,1400,600,700,700
