setting_id,dgp_id,dgp_label,p,beta_scale,gamma,kappa,cens_target,tau_quantile,n,test_frac,alpha,B,n_rep,tau_mean,tau_sd,censor_rate_emp_mean,admin_mass_emp_mean,coverage_mean,coverage_sd,length_mean,length_sd,tcrit,coverage_se,length_se,coverage_ci_low,coverage_ci_high,length_ci_low,length_ci_high,target_coverage,abs_cov_error
s001,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,30,1.380407427295272,0.04049539779958365,0.30902380952380953,0.2061904761904762,0.8978333333333333,0.015181847902911117,1.205570679121169,0.0405023527817256,2.0452296421327034,0.00277181352034564,0.0073946840835277415,0.8921643381590582,0.9035023285076084,1.1904468520393312,1.220694506203007,0.9,0.002166666666666761
s002,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,30,2.326540238347645,0.08724318287491252,0.17554761904761904,0.07573809523809524,0.9016111111111111,0.017128561286625356,2.1545222097223937,0.08545629460672077,2.0452296421327034,0.003127233131431473,0.015602113412302679,0.895215201212848,0.9080070210093742,2.122612304891636,2.1864321145531513,0.9,0.0016111111111111187
s003,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.97,2000,0.3,0.1,1500,30,3.6441318685461126,0.1424577168407014,0.12071428571428572,0.019714285714285715,0.8997777777777778,0.016520817781780647,3.469988778756923,0.14056706412568357,2.0452296421327034,0.0030162748558379073,0.025663917287970697,0.8936088030337985,0.905946752521757,3.417500174386323,3.5224773831275225,0.9,2.2222222222223476e-4
s004,base,Base Weibull PH,3,0.3,1.2,1,0.2,0.75,2000,0.3,0.1,1500,30,1.3806422554406697,0.038032959065598775,0.3651904761904762,0.16435714285714287,0.8991111111111111,0.016175127145913338,1.209848195776667,0.03946838348045732,2.0452296421327034,0.0029531606694436306,0.0072059079801702446,0.8930712193719845,0.9051510028502376,1.1951104591771422,1.2245859323761916,0.9,8.88888888888939e-4
s005,base,Base Weibull PH,3,0.3,1.2,1,0.2,0.9,2000,0.3,0.1,1500,30,2.3046075016881176,0.06349643597140696,0.2530476190476191,0.05480952380952381,0.8968333333333334,0.018519690256671818,2.134775103677993,0.06610455380390398,2.0452296421327034,0.0033812173705292646,0.012068985090737382,0.8899179673406329,0.9037486993260339,2.1100912576199593,2.159458949736027,0.9,0.003166666666666651
s006,base,Base Weibull PH,3,0.3,1.2,1,0.2,0.97,2000,0.3,0.1,1500,30,3.6485249833234112,0.1743820433344108,0.21042857142857144,0.01211904761904762,0.8972222222222223,0.016743119667317834,3.471395253614791,0.16760411728625535,2.0452296421327034,0.0030568614415994568,0.0306001852561412,0.8909702385899705,0.903474205854474,3.408810847674179,3.533979659555403,0.9,0.002777777777777768
s007,base,Base Weibull PH,3,0.3,1.2,1,0.35,0.75,2000,0.3,0.1,1500,30,1.3779753750357762,0.03361011687139332,0.4536428571428571,0.10859523809523809,0.8975555555555556,0.0177559732183217,1.2067841670185802,0.04173833754636242,2.0452296421327034,0.003241782354044132,0.007620342995635842,0.8909253661917218,0.9041857449193893,1.1911988156406874,1.222369518396473,0.9,0.0024444444444444713
s008,base,Base Weibull PH,3,0.3,1.2,1,0.35,0.9,2000,0.3,0.1,1500,30,2.2762909060378047,0.07704719828053519,0.3814047619047619,0.028261904761904762,0.8945555555555555,0.014777619334846169,2.1017736758796906,0.07388154229945107,2.0452296421327034,0.0026980118186399117,0.013488862433560483,0.8890375018092488,0.9000736093018623,2.0741858545919225,2.1293614971674586,0.9,0.005444444444444474
s009,base,Base Weibull PH,3,0.3,1.2,1,0.35,0.97,2000,0.3,0.1,1500,30,3.644256587000796,0.1479287183415248,0.3533095238095238,0.004428571428571428,0.9024444444444445,0.016068181674489288,3.4764289420120815,0.14945138793979593,2.0452296421327034,0.0029336351870696384,0.027285965475027256,0.8964444868006461,0.9084444020882428,3.420622876608346,3.532235007415817,0.9,0.0024444444444444713
s010,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,30,1.5168293342974737,0.04964213685470969,0.30447619047619046,0.20302380952380952,0.9007222222222222,0.01596021954480147,1.313700702901735,0.051879939253790114,2.0452296421327034,0.002913924089140866,0.00947193767043286,0.8947625783001868,0.9066818661442576,1.2943284152097323,1.3330729905937375,0.9,7.222222222221797e-4
s011,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,30,2.931354517598435,0.13620042849954755,0.1730952380952381,0.07254761904761904,0.8992777777777777,0.01841249020794653,2.7211025475113817,0.13051098668233166,2.0452296421327034,0.003361645408911767,0.023827937136056458,0.8924024409411321,0.9061531146144234,2.6723689441698446,2.769836150852919,0.9,7.222222222222907e-4
s012,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.1,0.97,2000,0.3,0.1,1500,30,5.368982938575074,0.34177422504917243,0.11992857142857143,0.01792857142857143,0.8977222222222222,0.015570155983276173,5.160417502956715,0.3436345583397864,2.0452296421327034,0.002842708551971463,0.06273879971367534,0.891908230427786,0.9035362140166584,5.03210225007048,5.28873275584295,0.9,0.002277777777777823
s013,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.2,0.75,2000,0.3,0.1,1500,30,1.5215361202715056,0.052892391596960395,0.3583571428571429,0.15926190476190477,0.8975,0.01698968585016674,1.315283365174174,0.05176122305668761,2.0452296421327034,0.0031018780616875533,0.009450263157401436,0.8911559470419554,0.9038440529580445,1.295955406838702,1.334611323509646,0.9,0.0025000000000000577
s014,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.2,0.9,2000,0.3,0.1,1500,30,2.9392313734705615,0.11332136570878576,0.24938095238095237,0.051,0.8991666666666667,0.01594260539142416,2.7319223172529226,0.11542503809851792,2.0452296421327034,0.00291070819942883,0.02107363235581716,0.8932135999775961,0.9051197333557373,2.6888218996913986,2.7750227348144465,0.9,8.333333333333526e-4
s015,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.2,0.97,2000,0.3,0.1,1500,30,5.360021889339133,0.32044662473675056,0.20785714285714285,0.009285714285714286,0.8993333333333333,0.016583701549657794,5.155229384672497,0.31907351080179874,2.0452296421327034,0.0030277558085603177,0.058254586456171153,0.8931408774045263,0.9055257892621403,5.036085377662153,5.274373391682841,0.9,6.666666666667043e-4
s016,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.35,0.75,2000,0.3,0.1,1500,30,1.5104604389457919,0.050004992123195986,0.4513095238095238,0.0999047619047619,0.8974444444444445,0.016357672068618746,1.3058876201103922,0.05587489409352915,2.0452296421327034,0.0029864886600848937,0.01020131329774603,0.8913363893109457,0.9035524995779433,1.2850235917651596,1.3267516484556248,0.9,0.002555555555555533
s017,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.35,0.9,2000,0.3,0.1,1500,30,2.91169943187676,0.11156656443818395,0.374452380952381,0.02264285714285714,0.8963888888888889,0.016153498211532617,2.704616030589099,0.11242962249931832,2.0452296421327034,0.0029492117843585904,0.020526746791555663,0.8903570735265917,0.9024207042511861,2.6626341195944567,2.746597941583741,0.9,0.0036111111111111205
s018,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.35,0.97,2000,0.3,0.1,1500,30,5.355691767927544,0.36464756266835396,0.3510714285714286,0.0024523809523809524,0.8979444444444444,0.014658849362185427,5.142309096991616,0.3631721758556692,2.0452296421327034,0.002676327487579725,0.06630586432479435,0.8924707401347919,0.903418148754097,5.006698377827317,5.277919816155914,0.9,0.0020555555555555882
s019,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.1,0.75,2000,0.3,0.1,1500,30,1.2280075254056482,0.021611420995941846,0.31338095238095237,0.21111904761904762,0.8951111111111111,0.01850201052207236,0.9244393278029758,0.02910473375435473,2.0452296421327034,0.0033779895073789887,0.005313773069147369,0.8882023468398064,0.9020198753824158,0.9135714416103891,0.9353072139955625,0.9,0.004888888888888943
s020,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.1,0.9,2000,0.3,0.1,1500,30,1.7446920112170947,0.04301243142897639,0.18235714285714286,0.08135714285714285,0.8999444444444444,0.013500981469455081,1.4455819499089424,0.04140310073675699,2.0452296421327034,0.0024649306997599307,0.007559137408060188,0.8949030951114925,0.9049857937773964,1.4301217780130235,1.4610421218048613,0.9,5.5555555555586444e-5
